plant_code,plant_name,latitude,longitude
539,Rocky River (CT),41.5826,-73.4349
540,Branford,41.2925,-72.7942
541,Bulls Bridge,41.659046,-73.491984
542,Cos Cob,41.0289,-73.5989
544,Devon Station,41.209797,-73.108976
546,Montville Station,41.4281,-72.1019
547,Northfield Mountain,42.610683,-72.471643
550,Kettle Falls Generating Station,48.620336,-118.111059
551,Scotland Dam,41.6651,-72.1221
552,Shepaug,41.44842,-73.295321
553,Stevenson,41.3833,-73.1714
554,Taftville,41.5725,-72.0458
557,Tunnel,41.555425,-72.041829
559,Rainbow (CT),41.915312,-72.693616
560,Falls Village,41.957272,-73.369297
561,Franklin Drive,41.798943,-73.116267
562,Middletown,41.554944,-72.579075
563,South Meadow,41.7495,-72.6524
564,Stanton Energy Center,28.4822,-81.1678
565,Torrington Terminal,41.776109,-73.120886
566,Millstone,41.3107,-72.1677
568,Bridgeport Station,41.1706,-73.1844
579,Central Hudson High Falls,41.828814,-74.131877
581,North Main Street,41.52679,-72.064935
583,Tenth Street,41.538955,-72.050936
584,Navajo Dam,36.8061,-107.6131
585,Drop 1,32.711611,-114.942666
586,East Highline,32.699451,-115.28245
589,J C McNeil,44.4917,-73.208056
591,Christiana,39.7302,-75.5371
592,Delaware City 10,39.600408,-75.626811
593,Edge Moor,39.73886,-75.50384
594,Indian River Generating Station,38.5857,-75.2341
597,West Station (DE),39.7283,-75.6289
599,McKee Run,39.176222,-75.546628
602,Brandon Shores,39.18,-76.5389
607,Fredonia,48.4558,-122.4358
609,Cape Canaveral,28.4698,-80.7644
610,Cutler,25.6321,-80.2989
612,Fort Myers,26.6967,-81.7831
613,Lauderdale,26.0686,-80.1984
617,Port Everglades,26.0856,-80.1253
619,Riviera,26.7653,-80.0525
620,Sanford,28.8419,-81.3256
621,Turkey Point,25.4356,-80.3308
622,South Fork Tolt,47.699167,-121.783333
624,Avon Park,27.579444,-81.492778
625,Upper Mechanicville,42.9126,-73.6805
626,Oak Flat,40.07531,-121.16143
627,Bayboro,27.758056,-82.635278
628,Crystal River,28.9656,-82.6977
629,G E Turner,28.869577,-81.273957
630,Higgins,28.003262,-82.661507
632,Newcastle,38.835182,-121.092982
634,P L Bartow,27.859535,-82.601759
637,Rio Pinar,28.541515,-81.254067
638,Suwannee River,30.376389,-83.180556
641,Crist,30.5661,-87.2244
642,Scholz,30.6692,-84.8869
643,Lansing Smith,30.2686,-85.7003
645,Big Bend,27.7944,-82.4036
646,F J Gannon,27.907222,-82.423055
647,Hookers Point,27.9375,-82.444444
649,Vogtle,33.1427,-81.7625
650,Kensico,41.0851,-73.7748
658,Henry D King,27.448611,-80.338611
663,Deerhaven Generating Station,29.7592,-82.3878
664,John R Kelly,29.6461,-82.3208
665,G W Ivey,25.4756,-80.47
666,J D Kennedy,30.364818,-81.625967
667,Northside Generating Station,30.4172,-81.5525
668,Southside Generating Station,30.316389,-81.648888
672,Hansel,28.289436,-81.407908
673,Tom G Smith,26.612767,-80.0677
674,Pilot Butte,43.219017,-108.787681
675,Larsen Memorial,28.0797,-81.9228
676,C D McIntosh Jr,28.0801,-81.9229
678,W K Sanders,44.625282,-72.530859
679,Smith Street,29.0219,-80.9644
681,W E Swoope,29.0219,-80.9644
682,Kerckhoff 2,37.071846,-119.558008
683,Indian River Plant,28.493232,-80.780124
685,St Cloud,28.2447,-81.2881
688,Arvah B Hopkins,30.4522,-84.4
689,S O Purdom,30.162304,-84.200673
690,J Woodruff,30.708571,-84.863869
692,Medicine Bow,41.835278,-106.242778
693,Vero Beach Municipal Power Plant,27.633382,-80.377551
696,Marathon Generating Plant,24.710833,-81.0927
698,Trenton North,40.0786,-93.635
699,Arkwright,32.926944,-83.699444
700,Atkinson,33.8175,-84.480278
701,Barnett Shoals,33.839475,-83.309716
702,Bartletts Ferry,32.661976,-85.091552
703,Bowen,34.1256,-84.9222
704,Burton Dam,34.7939,-83.5406
706,Flint River,31.6028,-84.1376
707,Goat Rock,32.60965,-85.0805
708,Hammond,34.2528,-85.3456
709,Harllee Branch,33.195,-83.2983
710,Jack McDonough,33.8239,-84.4758
711,Langdale,32.813836,-85.167786
712,Lloyd Shoals,33.320773,-83.841922
714,Toadtown,39.893491,-121.59338
715,McManus,31.213645,-81.546165
717,Morgan Falls,33.9684,-84.3827
718,Nacoochee,34.755269,-83.501073
719,North Highlands,32.498791,-84.995585
720,Oliver Dam,32.5163,-84.9969
722,Sinclair Dam,33.1403,-83.2028
723,Tallulah Falls,34.731332,-83.375475
724,Terrora,34.7504,-83.4063
725,Tugalo,34.7133,-83.3519
727,Mitchell (GA),31.444728,-84.134696
728,Yates,33.4622,-84.8986
729,Yonah,34.681477,-83.342642
732,Boulevard,32.0411,-81.145
733,Kraft,32.1486,-81.1458
734,Riverside (GA),32.083611,-81.095555
736,Stevens Creek,33.562644,-82.051242
745,Etiwanda,34.10345,-117.5257
747,Dinner Lake,27.4925,-81.435833
748,Phillips,27.4439,-81.3633
751,Moccasin Low Head Hydro Project,37.816447,-120.312033
752,Lake Blackshear Project,31.847697,-83.941996
753,Crisp Plant,31.844708,-83.940734
754,Hartwell Lake,34.3564,-82.8219
757,Blue Ridge,34.883889,-84.282222
758,Nottely,34.959153,-84.08765
759,Buford,34.162279,-84.077367
760,Allatoona,34.1637,-84.7282
761,Walter F George,34.61423,-84.674764
762,Ponca,36.71979,-97.085758
764,Honolulu,21.3068,-157.8819
765,Kahe,21.356395,-158.128853
766,Waiau,21.388997,-157.961518
768,Waimea,20.0252,-155.6955
769,Kanoelehua,19.7052,-155.0625
771,Puueo,19.7264,-155.0908
772,W H Hill,19.7041,-155.0607
773,Sullivan CR,48.863333,-117.345277
774,Waiau Hydro,19.7203,-155.1189
776,Sly Creek,39.580413,-121.119479
783,Basin Mills,44.875,-68.673055
784,Veazie C,44.836667,-68.698055
785,Kingsley,41.2114,-101.6681
788,East Barnet,44.326335,-72.035894
789,Orca,60.555,-145.7531
790,Gem State,43.420221,-112.101852
791,Canyon,29.87056,-98.194733
792,Palaau Power,21.106,-157.0647
794,Lewisville,33.068473,-96.963806
805,Charles E Monty,44.099461,-70.220851
808,Jarvis (Hinckley),43.3121,-75.109
809,American Falls,42.7778,-112.8764
810,Bliss,42.913786,-115.070986
811,Brownlee,44.8367,-116.8975
812,C J Strike,42.944869,-115.977858
813,Cascade Dam,44.5256,-116.0483
814,Clear Lake,42.66701,-114.78012
815,Lower Malad,42.865783,-114.906172
816,Lower Salmon,42.841608,-114.903611
817,Salmon Diesel,45.183368,-113.885307
818,Shoshone Falls,42.5975,-114.4033
819,Swan Falls,43.2435,-116.3791
820,Thousand Springs,42.740542,-114.836722
821,Twin Falls (ID),42.5892,-114.3553
822,Upper Salmon A,42.767422,-114.924692
823,Upper Malad,42.864267,-114.885542
825,Ashton,44.07863,-111.497326
826,Cove,42.514444,-111.793055
827,Grace,42.53675,-111.793967
829,Oneida,42.267774,-111.748531
831,Soda,42.64455,-111.696689
833,Cabinet Gorge,48.084444,-116.053056
835,Post Falls,47.703333,-116.953889
839,Scott Flat,39.272108,-120.932508
840,Dworshak,46.5143,-116.2977
841,City Power Plant,43.491398,-112.04541
843,Lower No 2,43.468398,-112.062602
844,Upper Power Plant,43.552695,-112.050953
846,Combie South,39.0096,-121.0591
850,Palisades Dam,43.334849,-111.205752
851,Albeni Falls,48.180245,-116.99859
856,E D Edwards,40.5958,-89.6631
860,Sterling Avenue,40.625278,-89.631111
861,Coffeen,39.0586,-89.4031
862,Grand Tower Energy Center LLC,37.6577,-89.511161
865,Bloom,42.057222,-87.869444
866,Calumet,41.713611,-87.542778
867,Crawford,41.82848,-87.72291
869,Dresden Generating Station,41.39,-88.27
870,Electric Junction,41.8333,-88.0833
874,Joliet 9,41.4931,-88.1153
876,Kincaid Generation LLC,39.590556,-89.496389
877,Lombard,41.89,-88.061667
879,Powerton,40.5408,-89.6786
880,Quad Cities Generating Station,41.726111,-90.310278
882,Sabrooke,42.216944,-89.052222
883,Waukegan,42.3833,-87.8133
884,Will County,41.6334,-88.0629
886,Fisk Street,41.8508,-87.6533
887,Joppa Steam,37.2094,-88.858889
889,Baldwin Energy Complex,38.205,-89.8544
891,Havana,40.2797,-90.08
892,Hennepin Power Station,41.3028,-89.315
894,Oglesby,41.2897,-89.0725
895,Stallings,38.7314,-90.0461
897,Vermilion,40.1781,-87.7481
898,Wood River,38.8639,-90.1347
899,Moline,41.509959,-90.534021
902,Bottle Rock Power,38.8348,-122.7677
903,Rockton,42.4511,-89.0756
905,Alamo,34.8158,-118.6867
913,Venice,38.6642,-90.1764
917,Quincy Chute,46.982514,-119.257764
925,Hydro Plant No 3,39.205623,-111.334381
934,Breese,38.607456,-89.524514
935,Bushnell,40.548586,-90.513814
936,Carlyle,38.6106,-89.3583
937,Carmi,38.0967,-88.1631
940,Fairfield,38.379718,-88.36686
941,Farmer City,40.24611,-88.638761
943,Freeburg,38.425556,-89.914444
944,Geneseo,41.451494,-90.148547
946,Highland,38.7412,-89.6849
948,McLeansboro,38.094683,-88.541331
949,Marshall (IL),39.392138,-87.68513
955,Peru (IL),41.3237,-89.1123
956,C H Corn Hydroelectric Facility,30.388517,-84.646624
957,Princeton (IL),41.3767,-89.3817
958,Rantoul,40.312222,-88.159444
959,Red Bud,38.2165,-89.9992
960,North Ninth Street,41.9093,-89.0498
961,South Main Street,41.9092,-89.0504
963,Dallman,39.754803,-89.602389
964,Lakeside,39.757327,-89.600512
965,Reynolds,39.806868,-89.641653
969,Sullivan (IL),39.596667,-88.611944
971,Waterloo,38.334786,-90.158939
972,Winnetka,42.115589,-87.731025
976,Marion,37.619747,-88.953114
983,Clifty Creek,38.7378,-85.4206
986,Elkhart,41.6928,-85.965
987,Last Chance,42.603349,-111.705304
988,Tanners Creek,39.0814,-84.8594
989,Twin Branch,41.665,-86.1322
990,Harding Street,39.711319,-86.196867
991,Eagle Valley (IN),39.48517,-86.4183
992,CC Perry K,39.7631,-86.1667
994,AES Petersburg,38.5281,-87.2525
995,Bailly,41.645,-87.1225
996,Dean H Mitchell,41.6392,-87.4069
997,Michigan City,41.7208,-86.9086
998,Norway (IN),40.7803,-86.76
999,Oakdale,40.6564,-86.7528
1001,Cayuga,39.9242,-87.4244
1002,Connersville,39.6561,-85.1758
1004,Edwardsport,38.8067,-87.2472
1005,Markland,38.7795,-84.964
1006,Miami Wabash,40.7884,-85.8178
1007,Noblesville,40.0969,-85.9714
1008,R Gallagher,38.2636,-85.8381
1010,Wabash River,39.53,-87.4247
1011,Broadway (IN),37.969116,-87.604879
1012,F B Culley,37.9111,-87.3275
1013,Northeast (IN),38.0211,-87.5172
1016,Butler-Warner Generation Plant,35.0986,-78.8294
1020,Manti Lower,39.255911,-111.621491
1024,Crawfordsville Power Plant,40.048889,-86.8992
1032,Logansport,40.758858,-86.360289
1037,Peru (IN),40.7551,-86.0575
1038,Rensselaer City Light Plant,40.939528,-87.154472
1040,Whitewater Valley,39.8028,-84.8953
1043,Frank E Ratts,38.5201,-87.2662
1046,Dubuque,42.5031,-90.658611
1047,Lansing,43.3359,-91.1675
1048,Milton L Kapp,41.8081,-90.233611
1052,Ames Diesel Generating Station,42.013319,-93.575416
1058,Sixth Street,41.984768,-91.668611
1060,Duane Arnold Energy Center,42.1011,-91.7781
1067,Iowa Hydro LLC,42.069987,-90.697657
1068,Marshalltown,42.0474,-92.859444
1073,Prairie Creek,41.944039,-91.639167
1077,Sutherland,42.047333,-92.859444
1079,Coralville GT,41.671877,-91.563999
1081,Riverside,41.54,-90.4481
1082,Walter Scott Jr Energy Center,41.18,-95.8408
1084,River Hills,41.590218,-93.619499
1091,George Neal North,42.299794,-96.361707
1097,Merle Parr,43.0563,-92.6932
1104,Burlington (IA),40.7412,-91.116667
1105,Centerville,40.7478,-92.873056
1109,Keokuk,40.3965,-91.3719
1120,Algona,43.0733,-94.2392
1121,Alta Municipal Utilities,42.6736,-95.3026
1122,Ames Electric Services Power Plant,42.0258,-93.6089
1123,Anita,41.444224,-94.766474
1124,Atlantic,41.409,-95
1125,Bancroft,43.292628,-94.217075
1126,Bellevue,42.25,-90.4167
1127,Bloomfield,40.7031,-92.4253
1128,Brooklyn,41.7278,-92.4479
1129,Cascade,42.29821,-91.011974
1130,Gas Turbine (IA),42.512,-92.476
1131,Streeter Station,42.5267,-92.4394
1132,Coggon,42.280827,-91.532705
1134,Corning,40.9871,-94.7352
1135,Dayton (IA),42.260162,-94.069243
1137,Estherville,43.4028,-94.8433
1138,Forest City Light Plant,43.263235,-93.635383
1141,Gowrie,42.282807,-94.288965
1142,Graettinger,43.2397,-94.7498
1143,Grand Junction,42.0296,-94.3699
1144,Greenfield,41.303889,-94.460556
1145,Grundy Center City Light Plant,42.363094,-92.772322
1146,Harlan,41.644542,-95.315283
1150,Indianola,41.359491,-93.563268
1153,Lake Park,43.4301,-95.3153
1154,Lake Mills,43.4172,-93.5322
