plant_code,plant_name,latitude,longitude,city,state
112,Childs,34.351111,-111.700556,Camp Verde,AZ
113,Cholla,34.9394,-110.3033,Joseph City,AZ
114,Douglas,31.364122,-109.5538,Douglas,AZ
115,Irving,34.402222,-111.617222,Camp Verde,AZ
116,Ocotillo,33.4225,-111.9122,Tempe,AZ
117,West Phoenix,33.4417,-112.1583,Phoenix,AZ
118,Saguaro,32.5517,-111.3,Red Rock,AZ
120,Yucca,32.7214,-114.7106,Yuma,AZ
124,Demoss Petrie,32.252273,-110.992148,Tucson,AZ
126,H Wilson Sundt Generating Station,32.16,-110.9047,Tucson,AZ
127,Oklaunion,34.0825,-99.1753,Oklaunion,TX
130,Cross,33.371506,-80.113235,Cross,SC
136,Seminole (FL),29.733056,-81.632778,Palatka,FL
141,Agua Fria,33.5561,-112.2153,Glendale,AZ
143,Crosscut,33.439375,-111.946052,Tempe,AZ
145,Horse Mesa,33.5907,-111.344,Phoenix,AZ
147,Kyrene,33.3556,-111.9353,Tempe,AZ
148,Mormon Flat,33.5536,-111.4431,Phoenix,AZ
149,Roosevelt,33.671104,-111.161786,Phoenix,AZ
150,Stewart Mountain,33.5661,-111.536,Phoenix,AZ
151,McClure,37.62936,-120.93139,Modesto,CA
152,Davis Dam,35.197044,-114.570669,Kingman,AZ
153,Glen Canyon Dam,36.936614,-111.483872,Page,AZ
154,Hoover Dam (NV),36.01551,-114.738006,Boulder City,NV
159,Lake Creek Dam,40.493631,-111.312506,Heber City,UT
160,Apache Station,32.0603,-109.8931,Cochise,AZ
161,Turlock Lake,37.611461,-120.594678,Hickman,CA
162,Hickman,37.621536,-120.746247,Hickman,CA
164,Big Pine,24.579167,-81.685,Big Pine Key,FL
165,GREC,36.190278,-95.2894,Chouteau,OK
166,Carpenter,34.4425,-93.0262,Hot Springs,AR
167,Cecil Lynch,34.7535,-92.1987,North Little Rock,AR
168,Hamilton Moses,34.9806,-90.8722,Forrest City,AR
169,Harvey Couch,33.3592,-93.4649,Stamps,AR
170,Lake Catherine,34.4341,-92.9049,Jones Mill,AR
171,Mabelvale,34.635997,-92.409602,Mabelvale,AR
172,Osceola (AR),35.6893,-89.994,Osceola,AR
173,Robert E Ritchie,34.4629,-90.5987,Helena,AR
174,Remmel,34.4272,-92.8941,Malvern,AR
180,Volta 2,40.45193,-121.86215,Manton,CA
182,Beaver Dam,36.421507,-93.847373,Eureka Springs,AR
187,Degray,34.211913,-93.110963,Arkadelphia,AR
188,Greers Ferry Lake,35.5207,-91.9953,HEBER SPRINGS,AR
192,Paragould,36.060556,-90.521389,Paragould,AR
193,Municipal Light,36.3858,-90.1867,Piggott,AR
195,Narrows (AR),34.148427,-93.715168,Murfreesboro,AR
196,Norfork,36.2491,-92.2401,MOUNTAIN HOME,AR
197,Blakely Mountain,34.570984,-93.194425,Royal,AR
198,Bull Shoals,36.3635,-92.5763,MOUNTAIN HOME,AR
199,Dardanelle,35.2503,-93.1686,RUSSELLVILLE,AR
201,Thomas Fitzhugh,35.462382,-93.804926,Ozark,AR
202,Carl Bailey,35.260102,-91.363426,Augusta,AR
203,McClellan (AR),33.5648,-92.7917,Camden,AR
204,Clinton Power Station,40.1719,-88.8339,Clinton,IL
207,St Johns River Power Park,30.4308,-81.5508,Jacksonville,FL
210,Wolf Creek Generating Station,38.23926,-95.68978,Burlington,KS
214,Alta Powerhouse,39.215979,-120.80355,Alta,CA
215,Angels,38.071944,-120.539444,Angels Camp,CA
217,Balch 1,36.909137,-119.087712,Balch Camp,CA
218,Balch 2,36.908907,-119.087556,Balch Camp,CA
219,Belden,40.007445,-121.249438,Belden,CA
220,Bucks Creek,39.91062,-121.327692,Storrie,CA
221,Butt Valley,40.175656,-121.190663,Belden,CA
222,Caribou 1,40.085476,-121.148241,Belden,CA
223,Caribou 2,40.085997,-121.149373,Belden,CA
224,Centerville PH,39.788877,-121.657383,Chico,CA
225,Chili Bar,38.771764,-120.813239,Placerville,CA
226,Coal Canyon,39.605043,-121.600525,Oroville,CA
227,Coleman PH,40.404645,-122.121904,Anderson,CA
228,Contra Costa,38.0192,-121.7642,Antioch,CA
